ENTRY	DEFINITION	EC
K06114	spectrin alpha
K06115	spectrin beta
K06116	glycerol-1-phosphatase	3.1.3.21
K06117	glycerol-1-phosphatase	3.1.3.21
K06118	UDP-sulfoquinovose synthase	3.13.1.1
K06119	sulfoquinovosyltransferase	2.4.1.-
K06120	glycerol dehydratase large subunit	4.2.1.30
K06121	glycerol dehydratase medium subunit	4.2.1.30
K06122	glycerol dehydratase small subunit	4.2.1.30
K06123	1-acylglycerone phosphate reductase	1.1.1.101
K06124	phosphoethanolamine/phosphocholine phosphatase	3.1.3.75
K06125	4-hydroxybenzoate polyprenyltransferase	2.5.1.39
K06126	ubiquinone biosynthesis monooxygenase Coq6	1.14.13.-
K06127	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase	2.1.1.201
K06128	lysophospholipase I	3.1.1.5
K06129	lysophospholipase III	3.1.1.5
K06130	lysophospholipase II	3.1.1.5
K06131	cardiolipin synthase A/B	2.7.8.-
K06132	cardiolipin synthase C	2.7.8.-
K06133	4'-phosphopantetheinyl transferase	2.7.8.-
K06134	3-demethoxyubiquinol 3-hydroxylase	1.14.99.60
K06135	pyrroloquinoline quinone biosynthesis protein A
K06136	pyrroloquinoline quinone biosynthesis protein B
K06137	pyrroloquinoline-quinone synthase	1.3.3.11
K06138	pyrroloquinoline quinone biosynthesis protein D
K06139	PqqA peptide cyclase	1.21.98.4
K06140	regulator of nucleoside diphosphate kinase
K06141	MFS transporter, TsgA protein
K06142	outer membrane protein
K06143	inner membrane protein
K06144	universal stress protein B
K06145	LacI family transcriptional regulator, gluconate utilization system Gnt-I transcriptional repressor
K06146	LacI family transcriptional regulator, gluconate utilization system Gnt-II transcriptional activator
K06147	ATP-binding cassette, subfamily B, bacterial
K06148	ATP-binding cassette, subfamily C, bacterial
K06149	universal stress protein A
K06151	gluconate 2-dehydrogenase alpha chain	1.1.99.3
K06152	gluconate 2-dehydrogenase gamma chain	1.1.99.3
K06153	undecaprenyl-diphosphatase	3.6.1.27
K06154	Lrp/AsnC family transcriptional regulator, involved in the regulation of lysine biosynthesis
K06155	Gnt-I system high-affinity gluconate transporter
K06156	Gnt-I system low-affinity gluconate transporter
K06157	Gnt-II system L-idonate transporter
K06158	ATP-binding cassette, subfamily F, member 3
K06159	multidrug/microcin transport system ATP-binding/permease protein
K06160	putative pyoverdin transport system ATP-binding/permease protein
K06161	putative syringomycin transport system ATP-binding/permease protein
K06162	alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase	3.6.1.63
K06163	alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase	4.7.1.1
K06164	alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI	2.7.8.37
K06165	alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH	2.7.8.37
K06166	alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG	2.7.8.37
K06167	phosphoribosyl 1,2-cyclic phosphate phosphodiesterase	3.1.4.55
K06168	tRNA-2-methylthio-N6-dimethylallyladenosine synthase	2.8.4.3
K06169	tRNA 2-(methylsulfanyl)-N6-isopentenyladenosine37 hydroxylase	1.14.99.69
K06170	presenilin enhancer 2
K06171	nicastrin
K06172	gamma-secretase subunit APH-1
K06173	tRNA pseudouridine38-40 synthase	5.4.99.12
K06174	ATP-binding cassette, sub-family E, member 1
K06175	tRNA pseudouridine65 synthase	5.4.99.26
K06176	tRNA pseudouridine13 synthase	5.4.99.27
K06177	tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase	5.4.99.28 5.4.99.29
K06178	23S rRNA pseudouridine2605 synthase	5.4.99.22
K06179	23S rRNA pseudouridine955/2504/2580 synthase	5.4.99.24
K06180	23S rRNA pseudouridine1911/1915/1917 synthase	5.4.99.23
K06181	23S rRNA pseudouridine2457 synthase	5.4.99.20
K06182	23S rRNA pseudouridine2604 synthase	5.4.99.21
K06183	16S rRNA pseudouridine516 synthase	5.4.99.19
K06184	ATP-binding cassette, subfamily F, member 1
K06185	ATP-binding cassette, subfamily F, member 2
K06186	outer membrane protein assembly factor BamE
K06187	recombination protein RecR
K06188	aquaporin Z
K06189	magnesium and cobalt transporter
K06190	intracellular septation protein
K06191	glutaredoxin-like protein NrdH
K06192	paraquat-inducible protein B
K06193	protein PhnA
K06194	lipoprotein NlpD
K06195	ApaG protein
K06196	cytochrome c-type biogenesis protein
K06197	cation transport regulator
K06198	competence protein CoiA
K06199	fluoride exporter
K06200	carbon starvation protein
K06201	copper homeostasis protein
K06202	iron-sulfur cluster assembly protein CyaY
K06203	CysZ protein
K06204	DnaK suppressor protein
K06205	MioC protein
K06206	sugar fermentation stimulation protein A
K06207	GTP-binding protein
K06208	chorismate mutase	5.4.99.5
K06209	chorismate mutase	5.4.99.5
K06210	nicotinamide mononucleotide adenylyltransferase	2.7.7.1 2.7.7.18
K06211	HTH-type transcriptional regulator, transcriptional repressor of NAD biosynthesis genes	2.7.7.1 2.7.1.22
K06212	formate transporter
K06213	magnesium transporter
K06214	curli production assembly/transport component CsgG
K06215	pyridoxal 5'-phosphate synthase pdxS subunit	4.3.3.6
K06216	putative ribose uptake protein
K06217	phosphate starvation-inducible protein PhoH and related proteins
K06218	mRNA interferase RelE/StbE
K06219	S-adenosylmethionine-dependent methyltransferase
K06221	2,5-diketo-D-gluconate reductase A	1.1.1.346
K06222	2,5-diketo-D-gluconate reductase B	1.1.1.346
K06223	DNA adenine methylase	2.1.1.72
K06224	hedgehog
K06225	patched 1
K06226	smoothened
K06227	costal 2
K06228	fused	2.7.11.1
K06229	suppressor of fused
K06230	zinc finger protein GLI3
K06231	hedgehog interacting protein
K06232	growth arrest-specific 1
K06233	low density lipoprotein-related protein 2
K06234	Ras-related protein Rab-23
K06235	zinc finger protein ZIC 2
K06236	collagen type I alpha
K06237	collagen type IV alpha
K06238	collagen type VI alpha
K06240	laminin, alpha 3/5
K06241	laminin, alpha 4
K06243	laminin, beta 2
K06244	laminin, beta 3
K06245	laminin, beta 4
K06246	laminin, gamma 2
K06247	laminin, gamma 3
K06248	chondroadherin
K06249	reelin	3.4.21.-
K06250	secreted phosphoprotein 1
K06251	vitronectin
K06252	tenascin
K06253	integrin binding sialoprotein
K06254	agrin
K06255	basement membrane-specific heparan sulfate proteoglycan core protein
K06256	CD44 antigen
K06257	syndecan 1
K06258	MFS transporter, VNT family, synaptic vesicle glycoprotein 2
K06259	CD36 antigen
K06260	platelet glycoprotein V
K06261	platelet glycoprotein Ib alpha chain
K06262	platelet glycoprotein Ib beta chain
K06263	platelet glycoprotein IX
K06264	platelet glycoprotein VI
K06265	dystroglycan 1
K06266	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)
K06267	hyaluronan-mediated motility receptor
K06268	serine/threonine-protein phosphatase 2B regulatory subunit
K06269	serine/threonine-protein phosphatase PP1 catalytic subunit	3.1.3.16
K06270	protein phosphatase 1 regulatory subunit 12A
K06271	talin
K06272	integrin-linked kinase	2.7.11.1
K06273	zyxin
K06274	vasodilator-stimulated phosphoprotein
K06275	parvin
K06276	3-phosphoinositide dependent protein kinase-1	2.7.11.1
K06277	Rap guanine nucleotide exchange factor 1
K06278	caveolin 1
K06279	SHC-transforming protein 1
K06281	hydrogenase large subunit	1.12.99.6
K06282	hydrogenase small subunit	1.12.99.6
K06283	putative DeoR family transcriptional regulator, stage III sporulation protein D
K06284	AbrB family transcriptional regulator, transcriptional pleiotropic regulator of transition state genes
K06285	transcription attenuation protein (tryptophan RNA-binding attenuator protein)
K06286	septation ring formation regulator
K06287	septum formation protein
K06288	spore germination protein AA
K06289	spore germination protein AB
K06290	spore germination protein AC
K06291	spore germination protein BA
K06292	spore germination protein BB
K06293	spore germination protein BC
K06294	spore germination protein D
K06295	spore germination protein KA
K06296	spore germination protein KB
K06297	spore germination protein KC
K06298	germination protein M
K06299	spore germination protein PA
K06300	spore germination protein PB
K06301	spore germination protein PC
K06302	spore germination protein PD
K06303	spore germination protein PE
K06304	spore germination protein PF
K06305	spore germination protein Q
K06306	spore germination protein
K06307	spore germination protein
K06308	spore germination protein
K06309	spore germination protein
K06310	spore germination protein
K06311	spore germination protein
K06312	spore germination protein
K06313	spore germination protein
K06314	prespore-specific regulator
K06315	transcriptional regulator of the spore photoproduct lyase operon
K06316	oligosaccharide translocation protein RFT1
K06317	inhibitor of the pro-sigma K processing machinery
K06318	forespore regulator of the sigma-K checkpoint
K06319	spore maturation protein CgeA
K06320	spore maturation protein CgeB
K06321	spore maturation protein CgeC
K06322	spore maturation protein CgeD
K06323	spore maturation protein CgeE
K06324	spore coat protein A, manganese oxidase	1.16.3.3
K06325	spore coat protein B
K06326	spore coat protein C
K06327	spore coat protein D
K06328	spore coat protein E
K06329	spore coat protein F
K06330	spore coat protein H
K06331	spore coat protein I
K06332	spore coat protein JA
K06333	spore coat protein JB
K06334	spore coat protein JC
K06335	spore coat protein M
K06336	spore coat-associated protein N
K06337	spore coat-associated protein S
K06338	spore coat protein SA
K06339	spore coat protein T
K06340	spore coat protein V
K06341	spore coat protein W
K06342	spore coat protein X
K06343	spore coat protein Y
K06344	spore coat protein Z
K06345	spore cortex protein
K06346	spoIIIJ-associated protein
K06347	kinase-associated protein B
K06348	sporulation inhibitor KapD
K06349	KinB signaling pathway activation protein
K06350	antagonist of KipI
K06351	inhibitor of KinA
K06352	phosphatase RapA inhibitor
K06353	phosphatase RapC regulator
K06354	phosphatase RapE regulator
K06355	phosphatase RapF regulator
K06356	phosphatase RapG regulator
K06357	phosphatase RapI regulator
K06358	phosphatase RapK regulator
K06359	response regulator aspartate phosphatase A (stage 0 sporulation protein L)	3.1.-.-
K06360	response regulator aspartate phosphatase B	3.1.-.-
K06361	response regulator aspartate phosphatase C	3.1.-.-
K06362	response regulator aspartate phosphatase D	3.1.-.-
K06363	response regulator aspartate phosphatase E	3.1.-.-
K06364	response regulator aspartate phosphatase F	3.1.-.-
K06365	response regulator aspartate phosphatase G	3.1.-.-
K06366	response regulator aspartate phosphatase H	3.1.-.-
K06367	response regulator aspartate phosphatase I	3.1.-.-
K06368	response regulator aspartate phosphatase J	3.1.-.-
K06369	response regulator aspartate phosphatase K	3.1.-.-
K06370	morphogenetic protein associated with SpoVID
K06371	developmental checkpoint coupling sporulation initiation to replication initiation
K06372	antagonist of SinR
K06373	spore maturation protein A
K06374	spore maturation protein B
K06375	stage 0 sporulation protein B (sporulation initiation phosphotransferase)	2.7.-.-
K06376	stage 0 sporulation regulatory protein
K06377	sporulation-control protein
K06378	stage II sporulation protein AA (anti-sigma F factor antagonist)
K06379	stage II sporulation protein AB (anti-sigma F factor)	2.7.11.1
K06380	stage II sporulation protein B
K06381	stage II sporulation protein D
K06382	stage II sporulation protein E	3.1.3.16
K06383	stage II sporulation protein GA (sporulation sigma-E factor processing peptidase)	3.4.23.-
K06384	stage II sporulation protein M
K06385	stage II sporulation protein P
K06386	stage II sporulation protein Q
K06387	stage II sporulation protein R
K06388	stage II sporulation protein SA
K06389	stage II sporulation protein SB
K06390	stage III sporulation protein AA
K06391	stage III sporulation protein AB
K06392	stage III sporulation protein AC
K06393	stage III sporulation protein AD
K06394	stage III sporulation protein AE
K06395	stage III sporulation protein AF
K06396	stage III sporulation protein AG
K06397	stage III sporulation protein AH
K06398	stage IV sporulation protein A
K06399	stage IV sporulation protein B	3.4.21.116
K06400	site-specific DNA recombinase
K06401	stage IV sporulation protein FA
K06402	stage IV sporulation protein FB	3.4.24.-
K06403	stage V sporulation protein AA
K06404	stage V sporulation protein AB
K06405	stage V sporulation protein AC
K06406	stage V sporulation protein AD
K06407	stage V sporulation protein AE
K06408	stage V sporulation protein AF
K06409	stage V sporulation protein B
K06410	dipicolinate synthase subunit A
K06411	dipicolinate synthase subunit B
K06412	stage V sporulation protein G
K06413	stage V sporulation protein K
K06414	stage V sporulation protein M
K06415	stage V sporulation protein R
K06416	stage V sporulation protein S
K06417	stage VI sporulation protein D
K06418	small acid-soluble spore protein A (major alpha-type SASP)
K06419	small acid-soluble spore protein B (major beta-type SASP)
K06420	small acid-soluble spore protein C (minor alpha/beta-type SASP)
K06421	small acid-soluble spore protein D (minor alpha/beta-type SASP)
K06422	small acid-soluble spore protein E (minor gamma-type SASP)
K06423	small acid-soluble spore protein F (minor alpha/beta-type SASP)
K06424	small acid-soluble spore protein G (minor)
K06425	small acid-soluble spore protein H (minor)
K06426	small acid-soluble spore protein I (minor)
K06427	small acid-soluble spore protein J (minor)
K06428	small acid-soluble spore protein K (minor)
K06429	small acid-soluble spore protein L (minor)
K06430	small acid-soluble spore protein M (minor)
K06431	small acid-soluble spore protein N (minor)
K06432	small acid-soluble spore protein O (minor)
K06433	small acid-soluble spore protein P (minor)
K06434	small acid-soluble spore protein (thioredoxin-like protein)
K06435	required for translation of spoIIID
K06436	spore coat assemly protein
K06437	sigma-E controlled sporulation protein
K06438	similar to stage IV sporulation protein
K06439	similar to spore coat protein
K06440	similar to spore coat protein
K06441	ferredoxin hydrogenase gamma subunit	1.12.7.2
K06442	23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase	2.1.1.226 2.1.1.227
K06443	lycopene beta-cyclase	5.5.1.19
K06444	lycopene epsilon-cyclase	5.5.1.18
K06445	acyl-CoA dehydrogenase	1.3.99.-
K06446	acyl-CoA dehydrogenase	1.3.99.-
K06447	succinylglutamic semialdehyde dehydrogenase	1.2.1.71
K06448	T-cell surface glycoprotein CD1
K06449	T-cell surface glycoprotein CD2
K06450	T-cell surface glycoprotein CD3 delta chain
K06451	T-cell surface glycoprotein CD3 epsilon chain
K06452	T-cell surface glycoprotein CD3 gamma chain
K06453	CD3Z antigen, zeta polypeptide
K06454	T-cell surface glycoprotein CD4
K06455	T-cell surface glycoprotein CD5
K06456	T-cell surface glycoprotein CD6
K06457	T-cell surface glycoprotein CD7
K06458	T-cell surface glycoprotein CD8 alpha chain
K06459	T-cell surface glycoprotein CD8 beta chain
K06460	CD9 antigen
K06461	integrin alpha M
K06462	integrin alpha X
K06463	low affinity immunoglobulin gamma Fc receptor III
K06464	integrin beta 2
K06465	B-lymphocyte antigen CD19
K06466	B-lymphocyte antigen CD20
K06467	CD22 antigen
K06468	low affinity immunoglobulin epsilon Fc receptor
K06469	CD24 antigen
K06470	CD28 antigen
K06471	platelet/endothelial cell adhesion molecule
K06472	low affinity immunoglobulin gamma Fc receptor II-a
K06473	CD33 antigen
K06474	CD34 antigen
K06475	CD37 antigen
K06476	integrin alpha 2B
K06477	sialophorin
K06478	receptor-type tyrosine-protein phosphatase C	3.1.3.48
K06479	CD48 antigen
K06480	integrin alpha 1
K06481	integrin alpha 2
K06482	integrin alpha 3
K06483	integrin alpha 4
K06484	integrin alpha 5
K06485	integrin alpha 6
K06486	intercellular adhesion molecule 3
K06487	integrin alpha V
K06488	CDW52 antigen
K06489	CD53 antigen
K06490	intercellular adhesion molecule 1
K06491	neural cell adhesion molecule
K06492	CD58 antigen
K06493	integrin beta 3
K06494	selectin, endothelial cell
K06495	selectin, lymphocyte
K06496	selectin, platelet
K06497	CD63 antigen
K06498	high affinity immunoglobulin gamma Fc receptor I
K06499	carcinoembryonic antigen-related cell adhesion molecule
K06500	pregnancy specific beta-1-glycoprotein
K06501	CD68 antigen
K06502	CD69 antigen
K06503	transferrin receptor
K06504	CD72 antigen
K06505	CD74 antigen
K06506	CD79A antigen
K06507	CD79B antigen
K06508	CD81 antigen
K06509	CD82 antigen
K06510	CD83 antigen
K06511	CD84 antigen
K06512	leukocyte immunoglobulin-like receptor
K06513	CD89 antigen
K06514	Thy-1 cell surface antigen
K06515	solute carrier family 44 (choline transporter-like protein), member 1
K06516	killer cell lectin-like receptor subfamily D member 1
K06517	CD96 antigen
K06518	holin-like protein
K06519	solute carrier family 3, member 2
K06520	CD99 antigen
K06521	semaphorin 4
K06522	immunoglobulin superfamily, member 2/3
K06523	intercellular adhesion molecule 2
K06524	integrin alpha E
K06525	integrin beta 4
K06526	endoglin
K06527	vascular cell adhesion molecule 1
K06528	lysosomal-associated membrane protein 1/2
K06529	semaphorin 7
K06530	CD109 antigen
K06531	poliovirus receptor-related protein 2
K06532	prominin 1
K06533	cadherin 5, type 2, VE-cadherin
K06534	melanoma cell adhesion molecule
K06535	basigin
K06536	signaling lymphocytic activation molecule family member 1
K06537	CD151 antigen
K06538	cytotoxic T-lymphocyte-associated protein 4
K06539	poliovirus receptor
K06540	disintegrin and metalloproteinase domain-containing protein 8	3.4.24.-
K06541	killer cell lectin-like receptor subfamily C1
K06542	CD160 antigen
K06543	killer cell lectin-like receptor subfamily B
K06544	selectin P ligand
K06545	CD163 antigen
K06546	CD164 antigen
K06547	activated leukocyte cell adhesion molecule
K06548	sialoadhesin
K06549	sialic acid binding Ig-like lectin 5
K06550	L1 cell adhesion molecule
K06551	signal-regulatory protein alpha/beta1/gamma
K06552	CD177 antigen
K06553	pre-B lymphocyte gene
K06554	immunoglobulin lambda-like polypeptide 1
K06555	CD180 antigen
K06556	CD200 antigen
K06557	protein C receptor, endothelial (EPCR)
K06558	macrophage scavenger receptor 1
K06559	lymphocyte antigen 75
K06560	mannose receptor, C type
K06561	CD207 antigen
K06562	lysosomal-associated membrane protein 3
K06563	C-type lectin domain family 4 member M
K06564	insulin-like growth factor 2 receptor
K06565	lymphocyte-activation gene 3 protein
K06566	interferon induced transmembrane protein
K06567	CD226 antigen
K06568	mucin-1
K06569	melanoma-associated antigen p97
K06570	lymphocyte antigen 9
K06571	tetraspanin-7
K06572	plexin C
K06573	solute carrier family 4 (anion exchanger), member 1
K06574	atypical chemokine receptor 1
K06575	glycophorin A
K06576	glycophorin C
K06577	Kell blood group glycoprotein	3.4.24.-
K06578	Lutheran blood group glycoprotein
K06579	Rhesus blood group glycoprotein
K06580	ammonium transporter Rh
K06581	intercellular adhesion molecule 4
K06582	natural killer cell receptor 2B4
K06583	integrin alpha 7
K06584	integrin alpha 8
K06585	integrin alpha 9
K06586	integrin alpha 10
K06587	integrin alpha 11
K06588	integrin beta 5
K06589	integrin beta 6
K06590	integrin beta 7
K06591	integrin beta 8
K06592	poliovirus receptor-related protein 3
K06593	poliovirus receptor-related 4
K06594	integrin alpha D
K06595	heam-based aerotactic trancducer
K06596	chemosensory pili system protein ChpA (sensor histidine kinase/response regulator)
K06597	chemosensory pili system protein ChpB (putative protein-glutamate methylesterase)
K06598	chemosensory pili system protein ChpC
K06599	AraC family transcriptional regulator, chemosensory pili system protein ChpD
K06600	chemosensory pili system protein ChpE
K06601	flagellar biosynthesis repressor protein FlbT
K06602	flagellar biosynthesis activator protein FlaF
K06603	flagellar protein FlaG
K06604	flagellar protein FlaI
K06605	myo-inositol catabolism protein IolH
K06606	2-keto-myo-inositol isomerase	5.3.99.11
K06607	myo-inositol catabolism protein IolS	1.1.1.-
K06608	DeoR family transcriptional regulator, myo-inositol catabolism operon repressor
K06609	MFS transporter, SP family, major inositol transporter
K06610	MFS transporter, SP family, inositol transporter
K06611	stachyose synthetase	2.4.1.67
K06612	alpha-N-acetyl-neuraminate alpha-2,8-sialyltransferase (sialyltransferase 8B)	2.4.99.-
K06613	alpha-N-acetyl-neuraminate alpha-2,8-sialyltransferase (sialyltransferase 8C)	2.4.99.-
K06614	alpha-N-acetyl-neuraminate alpha-2,8-sialyltransferase (sialyltransferase 8D)	2.4.99.-
K06615	alpha-N-acetyl-neuraminate alpha-2,8-sialyltransferase (sialyltransferase 8F)	2.4.99.-
K06616	alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase (sialyltransferase 7B)	2.4.99.-
K06617	raffinose synthase	2.4.1.82
K06618	retinoblastoma-associated protein
K06619	abelson tyrosine-protein kinase 1	2.7.10.2
K06620	transcription factor E2F3
K06621	cyclin-dependent kinase inhibitor 2A
K06622	cyclin-dependent kinase inhibitor 2C
K06623	cyclin-dependent kinase inhibitor 2D
K06624	cyclin-dependent kinase inhibitor 1B
K06625	cyclin-dependent kinase inhibitor 1A
K06626	G1/S-specific cyclin-E1
K06627	cyclin-A
K06628	cell division control protein 45
K06629	activator of S phase kinase
K06630	14-3-3 protein epsilon
K06631	polo-like kinase 1	2.7.11.21
K06632	wee1-like protein kinase	2.7.11.1
K06633	membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase	2.7.11.1
K06634	cyclin H
K06635	securin
K06636	structural maintenance of chromosome 1
K06637	mitotic checkpoint serine/threonine-protein kinase BUB1 beta	2.7.11.1
K06639	cell division cycle 14	3.1.3.16 3.1.3.48
K06640	serine/threonine-protein kinase ATR	2.7.11.1
K06641	serine/threonine-protein kinase CHEK2	2.7.11.1
K06642	DNA-dependent protein kinase catalytic subunit	2.7.11.1
K06643	E3 ubiquitin-protein ligase Mdm2	2.3.2.27
K06644	stratifin
K06645	M-phase inducer phosphatase 1	3.1.3.48
K06646	G1/S-specific cyclin CLN3
K06647	transcription factor MBP1
K06648	regulatory protein SWI6
K06649	regulatory protein SWI4
K06650	G1/S-specific cyclin CLN2
K06651	S-phase entry cyclin 5/6
K06652	cyclin-dependent kinase inhibitor FAR1
K06653	CDK inhibitor PHO81
K06654	phosphate system cyclin PHO80
K06655	negative regulator of the PHO system	2.7.11.22
K06656	PHO85 cyclin-1
K06657	PHO85 cyclin-2/9
K06658	phosphate system positive regulatory protein PHO4
K06659	G2/mitotic-specific cyclin 3/4
K06660	cell cycle serine/threonine-protein kinase CDC5/MSD2	2.7.11.21
K06661	DNA repair protein RAD9
K06662	cell cycle checkpoint protein
K06663	DNA damage checkpoint protein
K06664	peroxin-2
K06665	general transcriptional corepressor CYC8
K06666	general transcriptional corepressor TUP1
K06667	serine/threonine-protein kinase CAK1	2.7.11.22
K06668	serine/threonine-protein kinase GIN4	2.7.11.-
K06669	structural maintenance of chromosome 3 (chondroitin sulfate proteoglycan 6)
K06670	cohesin complex subunit SCC1
K06671	cohesin complex subunit SA-1/2
K06672	cohesin loading factor subunit SCC2
K06673	cohesin loading factor subunit SCC4
K06674	structural maintenance of chromosome 2
K06675	structural maintenance of chromosome 4
K06676	condensin complex subunit 2
K06677	condensin complex subunit 1
K06678	condensin complex subunit 3
K06679	mitotic spindle assembly checkpoint protein MAD1
K06680	spindle assembly checkpoint component MAD3
K06681	Gdp/GTP exchange factor required for growth at low temperatures
K06682	Gtp-binding protein of the ras superfamily involved in termination of M-phase
K06683	cell division control protein CDC15	2.7.11.1
K06684	cell cycle protein kinase DBF2	2.7.11.-
K06685	MOB kinase activator 1
K06686	cell cycle protein kinase DBF20	2.7.11.-
K06687	nucleolar protein involved in exit from mitosis
K06688	ubiquitin-conjugating enzyme E2 C	2.3.2.23
K06689	ubiquitin-conjugating enzyme E2 D	2.3.2.23
K06691	26S proteasome regulatory subunit N13
K06692	26S proteasome non-ATPase regulatory subunit 5
K06693	26S proteasome regulatory subunit N4
K06694	26S proteasome non-ATPase regulatory subunit 10
K06695	26S proteasome regulatory subunit, ATPase 3, interacting protein
K06696	proteasome activator subunit 1 (PA28 alpha)
K06697	proteasome activator subunit 2 (PA28 beta)
K06698	proteasome activator subunit 3 (PA28 gamma)
K06699	proteasome activator subunit 4
K06700	proteasome inhibitor subunit 1 (PI31)
K06702	CDW93 antigen
K06704	disintegrin and metalloproteinase domain-containing protein 10	3.4.24.81
K06706	CD248 antigen, endosialin
K06707	B- and T-lymphocyte attenuator
K06708	programmed cell death 1 ligand 2
K06709	[histone H3]-trimethyl-L-lysine9/36 demethylase	1.14.11.66 1.14.11.69
K06710	inducible T-cell co-stimulator ligand
K06711	hypoxia-inducible factor prolyl 4-hydroxylase	1.14.11.-
K06712	butyrophilin
K06713	inducible T-cell co-stimulator
K06714	arginine utilization regulatory protein
K06715	prostaglandin D2 receptor 2
K06716	ADP-ribosyltransferase 1	2.4.2.31
K06717	ADP-ribosyltransferase 4	2.4.2.31
K06718	L-2,4-diaminobutyric acid acetyltransferase	2.3.1.178
K06719	CD300 antigen
K06720	L-ectoine synthase	4.2.1.108
K06721	C-type lectin domain family 10 member A
K06722	CD302 antigen
K06723	C-type lectin domain family 4 member C
K06724	neuropilin 1
K06725	leukocyte-associated Ig-like receptor
K06726	D-ribose pyranase	5.4.99.62
K06727	Fc receptor-like protein
K06728	killer cell lectin-like receptor subfamily K member 1
K06729	prostaglandin F2 receptor negative regulator
K06730	immunoglobulin superfamily, member 8
K06731	bone marrow stromal cell antigen 2
K06732	CUB domain-containing protein 1
K06733	SLAM family member 7
K06734	CD320 antigen
K06735	junctional adhesion molecule 2
K06736	cadherin 2, type 1, N-cadherin
K06737	epithelial cell adhesion molecule
K06738	sialic acid binding Ig-like lectin 6
K06739	sialic acid binding Ig-like lectin 7
K06740	sialic acid binding Ig-like lectin 9
K06741	natural cytotoxicity triggering receptor 1
K06742	natural cytotoxicity triggering receptor 2
K06743	natural cytotoxicity triggering receptor 3
K06744	programmed cell death protein 1
K06745	programmed cell death 1 ligand 1
K06746	immune costimulatory protein B7-H3
K06747	immune costimulatory protein B7-H4
K06748	sialic acid binding Ig-like lectin 8
K06749	sialic acid binding Ig-like lectin 10
K06750	sialic acid binding Ig-like lectin 11
K06751	MHC class I antigen
K06752	MHC class II antigen
K06753	roundabout, axon guidance receptor 1
K06754	roundabout, axon guidance receptor 2
K06755	roundabout, axon guidance receptor 3
K06756	neuronal cell adhesion molecule
K06757	neurofascin
K06758	L1 cell adhesion molecule like protein
K06759	contactin 1
K06760	contactin 2
K06761	contactin 3
K06762	contactin 4
K06763	contactin 5
K06764	contactin 6
K06765	deleted in colorectal carcinoma
K06766	neogenin
K06767	Down syndrome cell adhesion molecule
K06768	Down syndrome cell adhesion molecule-like protein 1
K06769	intercellular adhesion molecule 5
K06770	myelin protein zero
K06771	myelin associated glycoprotein
K06772	limbic system-associated membrane protein
K06773	opioid binding protein/cell adhesion molecule-like
K06774	neurotrimin
K06775	neuronal growth regulator 1
K06776	receptor-type tyrosine-protein phosphatase kappa	3.1.3.48
K06777	receptor-type tyrosine-protein phosphatase delta	3.1.3.48
K06778	receptor-type tyrosine-protein phosphatase S	3.1.3.48
K06779	mucosal vascular addressin cell adhesion molecule 1
K06780	cell adhesion molecule 3
K06781	cell adhesion molecule 1
K06782	cell adhesion molecule 2
K06783	cell adhesion molecule 4
K06784	roundabout, axon guidance receptor 4
K06785	junctional adhesion molecule 3
K06786	junctional adhesion molecule 4
K06787	endothelial cell adhesion molecule
K06788	coxsackievirus and adenovirus receptor
K06789	adipocyte-specific adhesion molecule
K06790	cell surface A33 antigen
K06791	immunoglobulin superfamily, member 11
K06792	aggrecan 1
K06793	versican core protein
K06794	neurocan core protein
K06795	brevican
K06796	cadherin 3, type 1, P-cadherin
K06797	cadherin 4, type 1, R-cadherin
K06798	cadherin 6, type 2, K-cadherin
K06799	cadherin 7, type 2
K06800	cadherin 8, type 2
K06801	cadherin 9, type 2, T1-cadherin
K06802	cadherin 10, type 2, T2-cadherin
K06803	cadherin 11, type 2, OB-cadherin
K06804	cadherin 12, type 2, N-cadherin 2
K06805	cadherin 18, type 2
K06806	cadherin 19, type 2
K06807	cadherin 20, type 2
K06808	cadherin 13, H-cadherin
K06809	cadherin 15, M-cadherin
K06810	cadherin 16, KSP-cadherin
K06811	cadherin 17, LI cadherin
K06812	cadherin 22
K06813	cadherin 23
K06814	cadherin-like 24
K06815	glycosylation dependent cell adhesion molecule 1
K06816	golgi apparatus protein 1
K06817	podocalyxin-like
K06818	podocalyxin-like 2
K06819	neuropilin 2
K06820	plexin A
K06821	plexin B
K06822	plexin D
K06823	collagen type XVIII alpha
K06824	nephronectin
K06825	fibrillin 1
K06826	nidogen (entactin)
K06827	connective tissue growth factor (insulin-like growth factor-binding protein 8)
K06828	midkine
K06829	insulin-like growth factor-binding protein 10
K06830	galectin-1
K06831	galectin-3
K06832	galectin-8
